Tournament,Timestamp,Table,Player 1,Score 1,Player 2,Score 2
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:45.209816,1,beni,1,baney,2
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:45.209816,1,tim,2,linus,1
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:45.209816,1,luca,2,remo,1
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:45.209816,1,enrique,2,vale,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:45.209816,1,coco,1,serge,1
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:58.319687,1,baney,0,enrique,2
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:58.319687,2,luca,1,tim,2
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:58.319687,3,coco,2,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:58.319687,4,beni,2,linus,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:04:58.319687,5,remo,0,vale,2
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:16.387362,1,baney,0,enrique,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:16.387362,2,luca,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:16.387362,3,coco,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:16.387362,4,beni,0,linus,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:16.387362,5,remo,0,vale,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:24.551949,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:24.551949,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:24.551949,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:24.551949,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:24.551949,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:26.793988,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:26.793988,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:26.793988,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:26.793988,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:26.793988,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.426323,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.426323,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.426323,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.426323,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.426323,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.852478,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.852478,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.852478,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.852478,4,vale,0,serge,0
